ID,Media,FS,Replicate,Time,Peptide_Value,Peptide
FS17_BRM3A_D13,NS,FSA,A,312,,
FS17_BRM3B_D13,NS,FSA,B,312,,
FS17_BRM4A_D13,MM,FSA,A,312,,
FS17_BRM4B_D13,MM,FSA,B,312,,
FS17_BRM4C_D13,MM,FSA,C,312,,
FS17_BRM4IA_D13,IL,FSA,A,312,,
FS17_BRM4IB_D13,IL,FSA,B,312,,
FS17_BRM4IC_D13,IL,FSA,C,312,,
FS18_BRM3A_D13,NS,FSB,A,312,,
FS18_BRM3B_D13,NS,FSB,B,312,,
FS18_BRM3C_D13,NS,FSB,C,312,,
FS18_BRM4A_D13,MM,FSB,A,312,,
FS18_BRM4B_D13,MM,FSB,B,312,,
FS18_BRM4C_D13,MM,FSB,C,312,,
FS18_BRM4IA_D13,IL,FSB,A,312,,
FS18_BRM4IB_D13,IL,FSB,B,312,,
FS18_BRM4IC_D13,IL,FSB,C,312,,
FS18_BRM5A_D13,5MM,FSB,A,312,,
FS18_BRM5B_D13,5MM,FSB,B,312,,
FS18_BRM5C_D13,5MM,FSB,C,312,,
FS17_BRM3A_D14,NS,FSA,A,336,,
FS17_BRM3B_D14,NS,FSA,B,336,,
FS17_BRM4A_D14,MM,FSA,A,336,,
FS17_BRM4B_D14,MM,FSA,B,336,,
FS17_BRM4C_D14,MM,FSA,C,336,,
FS17_BRM4IA_D14,IL,FSA,A,336,,
FS17_BRM4IB_D14,IL,FSA,B,336,,
FS17_BRM4IC_D14,IL,FSA,C,336,,
FS18_BRM3A_D14,NS,FSB,A,336,,
FS18_BRM3B_D14,NS,FSB,B,336,,
FS18_BRM3C_D14,NS,FSB,C,336,,
FS18_BRM4A_D14,MM,FSB,A,336,,
FS18_BRM4B_D14,MM,FSB,B,336,,
FS18_BRM4C_D14,MM,FSB,C,336,,
FS18_BRM4IA_D14,IL,FSB,A,336,,
FS18_BRM4IB_D14,IL,FSB,B,336,,
FS18_BRM4IC_D14,IL,FSB,C,336,,
FS18_BRM5A_D14,5MM,FSB,A,336,,
FS18_BRM5B_D14,5MM,FSB,B,336,,
FS18_BRM5C_D14,5MM,FSB,C,336,,
FS17_BRM3A_D15,NS,FSA,A,360,,
FS17_BRM3B_D15,NS,FSA,B,360,,
FS17_BRM4A_D15,MM,FSA,A,360,,
FS17_BRM4B_D15,MM,FSA,B,360,,
FS17_BRM4C_D15,MM,FSA,C,360,,
FS17_BRM4IA_D15,IL,FSA,A,360,,
FS17_BRM4IB_D15,IL,FSA,B,360,,
FS17_BRM4IC_D15,IL,FSA,C,360,,
FS18_BRM3A_D15,NS,FSB,A,360,,
FS18_BRM3B_D15,NS,FSB,B,360,,
FS18_BRM3C_D15,NS,FSB,C,360,,
FS18_BRM4A_D15,MM,FSB,A,360,,
FS18_BRM4B_D15,MM,FSB,B,360,,
FS18_BRM4C_D15,MM,FSB,C,360,,
FS18_BRM4IA_D15,IL,FSB,A,360,,
FS18_BRM4IB_D15,IL,FSB,B,360,,
FS18_BRM4IC_D15,IL,FSB,C,360,,
FS18_BRM5A_D15,5MM,FSB,A,360,,
FS18_BRM5B_D15,5MM,FSB,B,360,,
FS18_BRM5C_D15,5MM,FSB,C,360,,
FS17_FS,Inoculum,FSA,FS,,,
FS18_FS,Inoculum,FSB,FS,,,
