Media,Richness,Shannon,Evenness,Microbiota Richness
Inulin,2,0.401316227,0.578976931,43
AXOS,7,1.56744,0.80551,80
Pectin,15,1.966775447,0.726269936,60
3-mix,21,2.178722257,0.715620365,110
6-mix,25,2.457306798,0.763405279,78
