Media,Time,Experiment,FS,Replicate,MCC,Shared_Richness,,,
B,Mid,2,A,2,0.6293345,53,,,
B,Mid,2,A,2,0.5421344,58,,,
B,Mid,2,A,2,0.4197878,58,,,
B,Late,2,A,2,0.6374408,62,,,
B,Late,2,A,2,0.6511753,61,,,
B,Late,2,A,2,0.6230097,65,,,
B,Early,2,A,3,0.2627446,14,,0.629706,88
B,Early,2,A,3,0.5792179,16,,,
B,Early,2,A,3,0.5338094,52,,,
B,Mid,2,A,3,0.3820103,55,,,
B,Mid,2,A,3,0.5910517,58,,,
B,Mid,2,A,3,0.6184953,57,,,
B,Mid,2,A,3,0.5290463,60,,,
B,Late,2,A,3,0.4902683,65,,,
B,Late,2,A,3,0.629706,83,,,
B,Late,2,A,3,0.5697686,88,,,
B,Early,2,A,4,0.4700726,38,,0.6247696,76
B,Early,2,A,4,0.5779597,48,,,
B,Early,2,A,4,0.4545539,48,,,
B,Mid,2,A,4,0.5072824,51,,,
B,Mid,2,A,4,0.6158404,49,,,
B,Mid,2,A,4,0.5755322,49,,,
B,Mid,2,A,4,0.5464066,48,,,
B,Late,2,A,4,0.4402528,51,,,
B,Late,2,A,4,0.5856953,71,,,
B,Late,2,A,4,0.6247696,76,,,
AP,Early,2,A,1,0.4107679,31,,0.5999779,74
AP,Early,2,A,1,0.5137886,42,,,
AP,Early,2,A,1,0.5109298,50,,,
AP,Mid,2,A,1,0.5744364,53,,,
AP,Mid,2,A,1,0.5538158,58,,,
AP,Mid,2,A,1,0.5855564,59,,,
AP,Mid,2,A,1,0.5149886,57,,,
AP,Late,2,A,1,0.5750418,57,,,
AP,Late,2,A,1,0.5999779,74,,,
AP,Late,2,A,1,0.5592009,72,,,
AP,Early,2,A,2,0.5100527,38,,0.6207369,88
AP,Early,2,A,2,0.6204337,50,,,
AP,Early,2,A,2,0.6063279,56,,,
AP,Mid,2,A,2,0.5390476,56,,,
AP,Mid,2,A,2,0.5938503,65,,,
AP,Mid,2,A,2,0.655248,67,,,
AP,Mid,2,A,2,0.6135119,66,,,
AP,Late,2,A,2,0.6291839,69,,,
AP,Late,2,A,2,0.5496224,78,,,
AP,Late,2,A,2,0.6207369,88,,,
AP,Early,2,A,3,0.4780813,39,,0.7331166,74
AP,Early,2,A,3,0.6401815,53,,,
AP,Early,2,A,3,0.5517968,61,,,
AP,Mid,2,A,3,0.6253221,59,,,
AP,Mid,2,A,3,0.7161866,58,,,
AP,Mid,2,A,3,0.6394374,56,,,
AP,Mid,2,A,3,0.6942763,56,,,
AP,Late,2,A,3,0.5620575,65,,,
AP,Late,2,A,3,0.6192506,69,,,
AP,Late,2,A,3,0.7331166,74,,,
AP,Early,2,A,4,0.6589624,34,,0.6569094,68
AP,Early,2,A,4,0.533609,51,,,
AP,Early,2,A,4,0.5753862,60,,,
AP,Mid,2,A,4,0.5891838,64,,,
AP,Mid,2,A,4,0.6309776,67,,,
AP,Mid,2,A,4,0.5926282,67,,,
AP,Mid,2,A,4,0.5130425,64,,,
AP,Late,2,A,4,0.5147224,62,,,
AP,Late,2,A,4,0.6569094,68,,,
AP,Late,2,A,4,0.5799983,66,,,
AM,Early,2,A,1,0.4208656,8,,0.588973,34
AM,Early,2,A,1,0.5293835,8,,,
AM,Early,2,A,1,0.4143691,10,,,
AM,Mid,2,A,1,0.6241752,12,,,
AM,Mid,2,A,1,0.5432477,16,,,
AM,Mid,2,A,1,0,16,,,
AM,Mid,2,A,1,0.6208698,16,,,
AM,Late,2,A,1,0.3722894,17,,,
AM,Late,2,A,1,0.588973,24,,,
AM,Late,2,A,1,0.4527441,34,,,
AM,Early,2,A,2,0.5596895,9,,0.5596895,14
AM,Early,2,A,2,0.4652204,8,,,
AM,Early,2,A,2,0,8,,,
AM,Mid,2,A,2,0,8,,,
AM,Mid,2,A,2,0,8,,,
AM,Mid,2,A,2,0,9,,,
AM,Mid,2,A,2,0,10,,,
AM,Late,2,A,2,0,9,,,
AM,Late,2,A,2,0,14,,,
AM,Late,2,A,2,0.3630627,14,,,
AM,Early,2,A,3,0,0,,0.7091001,11
AM,Early,2,A,3,0,0,,,
AM,Early,2,A,3,0.7091001,6,,,
AM,Mid,2,A,3,0,0,,,
AM,Mid,2,A,3,0,0,,,
AM,Mid,2,A,3,0.4552425,6,,,
AM,Mid,2,A,3,0.3639157,5,,,
AM,Late,2,A,3,0.6982943,7,,,
AM,Late,2,A,3,0.6469567,11,,,
AM,Late,2,A,3,0.4834543,11,,,
AM,Early,2,A,4,0,6,,0.1924505,13
AM,Early,2,A,4,0,0,,,
AM,Early,2,A,4,0.1924505,6,,,
AM,Mid,2,A,4,0,9,,,
AM,Mid,2,A,4,0,0,,,
AM,Mid,2,A,4,0,10,,,
AM,Mid,2,A,4,0,12,,,
AM,Late,2,A,4,0,12,,,
AM,Late,2,A,4,0,13,,,
AM,Late,2,A,4,0,12,,,
GP,Early,2,A,1,0,0,,0,19
GP,Early,2,A,1,0,0,,,
GP,Early,2,A,1,0,0,,,
GP,Mid,2,A,1,0,0,,,
GP,Mid,2,A,1,0,9,,,
GP,Mid,2,A,1,0,10,,,
GP,Mid,2,A,1,0,14,,,
GP,Late,2,A,1,0,16,,,
GP,Late,2,A,1,0,18,,,
GP,Late,2,A,1,0,19,,,
GP,Early,2,A,2,0,0,,0.73253,16
GP,Early,2,A,2,0,0,,,
GP,Early,2,A,2,0,0,,,
GP,Mid,2,A,2,0.73253,10,,,
GP,Mid,2,A,2,0.36299,11,,,
GP,Mid,2,A,2,0.461,11,,,
GP,Mid,2,A,2,0.61696,11,,,
GP,Late,2,A,2,0.43829,11,,,
GP,Late,2,A,2,0.35774,14,,,
GP,Late,2,A,2,0.43727,16,,,
GP,Early,2,A,3,0,0,,0,12
GP,Early,2,A,3,0,0,,,
GP,Early,2,A,3,0,0,,,
GP,Mid,2,A,3,0,6,,,
GP,Mid,2,A,3,0,0,,,
GP,Mid,2,A,3,0,6,,,
GP,Mid,2,A,3,0,7,,,
GP,Late,2,A,3,0,9,,,
GP,Late,2,A,3,0,10,,,
GP,Late,2,A,3,0,12,,,
GP,Early,2,A,4,0,0,,0,8
GP,Early,2,A,4,0,6,,,
GP,Early,2,A,4,0,7,,,
GP,Mid,2,A,4,0,7,,,
GP,Mid,2,A,4,0,7,,,
GP,Mid,2,A,4,0,0,,,
GP,Mid,2,A,4,0,0,,,
GP,Late,2,A,4,0,0,,,
GP,Late,2,A,4,0,8,,,
GP,Late,2,A,4,0,8,,,
GM,Early,2,A,1,0.5637784,20,,0.5139867,42
GM,Early,2,A,1,0.5365379,26,,,
GM,Early,2,A,1,0,31,,,
GM,Mid,2,A,1,0,31,,,
GM,Mid,2,A,1,0,38,,,
GM,Mid,2,A,1,0.5139867,42,,,
GM,Mid,2,A,1,0.5243743,19,,,
GM,Late,2,A,1,0.4991757,22,,,
GM,Late,2,A,1,0.538624,22,,,
GM,Late,2,A,1,0.4475942,24,,,
GM,Early,2,A,2,0.5236782,26,,0.6405516,69
GM,Early,2,A,2,0.5506464,40,,,
GM,Early,2,A,2,0.5508683,45,,,
GM,Mid,2,A,2,0.5885467,48,,,
GM,Mid,2,A,2,0.5978852,56,,,
GM,Mid,2,A,2,0.6379619,56,,,
GM,Mid,2,A,2,0.6273318,57,,,
GM,Late,2,A,2,0.6405516,63,,,
GM,Late,2,A,2,0.6109052,68,,,
GM,Late,2,A,2,0.6171921,69,,,
GM,Early,2,A,3,0.5497092,26,,0.7066315,58
GM,Early,2,A,3,0.6109698,38,,,
GM,Early,2,A,3,0.5086282,38,,,
GM,Mid,2,A,3,0.595197,47,,,
GM,Mid,2,A,3,0.5494078,51,,,
GM,Mid,2,A,3,0.5978632,48,,,
GM,Mid,2,A,3,0.5993399,51,,,
GM,Late,2,A,3,0.5875665,57,,,
GM,Late,2,A,3,0.7066315,57,,,
GM,Late,2,A,3,0.6175856,58,,,
GM,Early,2,A,4,0.5425558,34,,,
GM,Early,2,A,4,0.5410732,41,,,
GM,Early,2,A,4,0,40,,0,61
GM,Mid,2,A,4,0,37,,,
GM,Mid,2,A,4,0,37,,,
GM,Mid,2,A,4,0,44,,,
GM,Mid,2,A,4,0,47,,,
GM,Late,2,A,4,0,58,,,
GM,Late,2,A,4,0,59,,,
GM,Late,2,A,4,0,61,,,
